bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
9.419657000000000334e-04,3.659601999999999862e+02,9.767877999999999587e-05,3.168387999999999760e-01,3.005285999999999808e-03,3.652896999999999821e+02,3.080735000000000244e-04,3.202737999999999974e-01,8.493933000000000386e-03,3.465462999999999790e-03,3.361356999999999740e-05,1.463198999999999923e-02,8.454174000000000010e-05,2.589139999999999997e+00,7.000000000000000000e+00,1.013000000000000000e+03,1.501637728400000071e+02,1.501636627299999986e+02,2.155974619999999842e+00,2.156107938399999924e+00,1.501637728000000038e+02,1.501636627000000033e+02,2.155974599999999963e+00,2.156107899999999855e+00,1.366999999999999993e+00,5.996000000000000441e+00,6.929999999999999494e-01,4.641000000000000014e+00
7.838028999999999830e-04,1.847935999999999979e+02,9.239487000000000329e-05,3.073878999999999917e-01,2.118609000000000030e-03,1.851290999999999940e+02,3.521857999999999781e-04,3.329469999999999930e-01,8.492747999999999617e-03,2.901383000000000000e-03,3.361356999999999740e-05,1.463198999999999923e-02,8.309911999999999323e-05,1.725503999999999927e+00,1.200000000000000000e+01,9.320000000000000000e+02,1.501751436899999987e+02,1.501750062700000115e+02,2.216975083799999968e+00,2.217112026000000125e+00,1.501751437000000067e+02,1.501750063000000068e+02,2.216975099999999976e+00,2.217112000000000194e+00,1.739999999999999991e+00,6.458000000000000185e+00,9.509999999999999565e-01,4.716999999999999638e+00
3.082943000000000211e-01,3.694498999999999796e+03,6.405226000000000192e-04,3.878627000000000047e-01,2.924538999999999889e-01,3.911672999999999774e+03,5.378171000000000384e-04,2.993901999999999952e-01,8.493455000000000449e-03,2.977458000000000101e-03,3.361356999999999740e-05,1.463198999999999923e-02,2.130560999999999913e-02,5.218603999999999843e+01,7.010000000000000000e+02,1.548000000000000000e+03,1.501717244200000039e+02,1.501715365299999974e+02,2.330095695299999825e+00,2.329992966199999849e+00,1.501717243999999880e+02,1.501715365000000020e+02,2.330095700000000214e+00,2.329992999999999981e+00,4.187999999999999723e+00,6.942000000000000171e+00,3.592999999999999972e+00,3.512000000000000011e+00
2.405736999999999969e-04,1.346388000000000034e+02,5.010815999999999968e-05,2.073869000000000129e-01,5.455454999999999896e-04,1.395783999999999878e+02,1.344542999999999910e-04,2.415140000000000065e-01,8.492516000000000301e-03,2.131591999999999862e-03,3.361356999999999740e-05,1.463198999999999923e-02,7.019936999999999531e-05,1.925494000000000039e+00,4.000000000000000000e+00,4.400000000000000000e+02,1.501909275799999932e+02,1.501907609300000104e+02,2.155076699999999956e+00,2.155000708999999848e+00,1.501909276000000091e+02,1.501907608999999866e+02,2.155076699999999956e+00,2.155000699999999991e+00,7.560000000000000053e-01,5.118000000000000327e+00,4.450000000000000067e-01,3.121999999999999886e+00
1.305947999999999918e-03,3.925844999999999914e+02,9.767877999999999587e-05,2.950684000000000085e-01,1.656244000000000076e-03,3.806508000000000038e+02,1.847897000000000038e-04,2.134910999999999892e-01,8.493436999999999515e-03,2.436150000000000208e-03,3.361356999999999740e-05,1.463198999999999923e-02,2.146968999999999874e-04,1.634432999999999936e+01,1.600000000000000000e+01,8.480000000000000000e+02,1.501974662899999942e+02,1.501972674900000015e+02,2.101108429800000010e+00,2.101135190499999972e+00,1.501974663000000021e+02,1.501972675000000095e+02,2.101108400000000209e+00,2.101135199999999870e+00,1.461000000000000076e+00,3.854000000000000092e+00,8.449999999999999734e-01,3.225999999999999979e+00
2.962839999999999918e+00,1.833240999999999985e+04,1.066256000000000018e-03,1.575098000000000109e+00,2.835468999999999795e+00,1.793295000000000073e+04,6.707758000000000297e-04,1.220892000000000088e+00,8.495231000000000657e-03,3.457941999999999960e-02,3.361356999999999740e-05,1.463198999999999923e-02,2.198151000000000133e-01,1.471462000000000003e+01,2.053000000000000000e+03,2.503900000000000000e+04,1.501878810599999952e+02,1.501877000199999941e+02,2.276956193599999789e+00,2.276867053100000149e+00,1.501878810999999985e+02,1.501877000000000066e+02,2.276956199999999875e+00,2.276867100000000033e+00,5.128999999999999559e+00,2.135999999999999943e+01,4.567000000000000171e+00,1.905600000000000094e+01
3.967080000000000107e-04,8.466607999999999379e+01,5.928876999999999851e-05,2.456160000000000010e-01,1.018468000000000021e-03,8.413164999999999338e+01,2.102154999999999866e-04,2.567903000000000269e-01,8.493343000000000420e-03,1.561969000000000074e-03,3.361356999999999740e-05,1.463198999999999923e-02,7.056723999999999354e-05,1.920663000000000009e+00,7.000000000000000000e+00,5.890000000000000000e+02,1.501997838100000138e+02,1.501995888099999945e+02,2.173720598700000117e+00,2.173672153400000084e+00,1.501997838000000058e+02,1.501995887999999866e+02,2.173720599999999781e+00,2.173672199999999943e+00,9.739999999999999769e-01,4.584999999999999964e+00,5.390000000000000346e-01,3.943999999999999950e+00
1.424187000000000092e+00,1.303020999999999913e+04,8.007904000000000367e-04,1.257366999999999901e+00,1.372406000000000015e+00,1.260837000000000080e+04,5.950013999999999781e-04,8.419575999999999727e-01,8.494730000000000683e-03,8.000069000000000277e-03,3.361356999999999740e-05,1.463198999999999923e-02,9.577626000000000195e-02,4.255968000000000018e+01,1.188000000000000000e+03,1.579300000000000000e+04,1.502001672199999973e+02,1.502000553199999899e+02,2.209379346800000032e+00,2.209505766099999935e+00,1.502001672000000099e+02,1.502000553000000025e+02,2.209379300000000157e+00,2.209505800000000075e+00,4.785000000000000142e+00,1.434200000000000053e+01,3.837000000000000188e+00,1.350600000000000023e+01
4.200368999999999804e-03,6.093751999999999498e+02,1.901471000000000010e-04,3.533287999999999984e-01,9.635516000000000220e-03,6.058019000000000460e+02,6.083551000000000193e-04,3.336606999999999768e-01,8.493462000000000234e-03,3.526188999999999886e-03,3.361356999999999740e-05,1.463198999999999923e-02,1.320559999999999974e-04,4.385596999999999746e+00,5.600000000000000000e+01,1.249000000000000000e+03,1.502016198700000018e+02,1.502014256200000091e+02,2.167781781900000038e+00,2.167670007499999940e+00,1.502016198999999972e+02,1.502014255999999932e+02,2.167781800000000203e+00,2.167670000000000208e+00,3.160000000000000142e+00,6.673000000000000043e+00,1.711999999999999966e+00,4.546000000000000263e+00
3.958828999999999972e-04,4.967511999999999972e+01,5.489073000000000156e-05,1.855950000000000100e-01,1.052285999999999933e-03,5.000150000000000006e+01,1.927699000000000057e-04,2.025119999999999976e-01,8.493710999999999275e-03,2.346548999999999857e-03,3.361356999999999740e-05,1.463198999999999923e-02,9.880959999999999667e-05,1.077433000000000085e+00,6.000000000000000000e+00,3.420000000000000000e+02,1.501997622700000079e+02,1.501995780000000025e+02,2.219282141699999933e+00,2.219264555400000116e+00,1.501997623000000033e+02,1.501995780000000025e+02,2.219282100000000035e+00,2.219264599999999810e+00,7.830000000000000293e-01,3.539000000000000146e+00,5.000000000000000000e-01,3.177999999999999936e+00
