bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
5.745203000000000159e-04,2.293306000000000111e+01,1.042185000000000051e-04,1.341315999999999897e-01,2.358425999999999838e-03,2.384021999999999863e+01,3.559740000000000040e-04,1.799337000000000020e-01,1.173556999999999986e-03,1.489896000000000102e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.282423000000000037e-04,1.806118999999999919e-01,5.000000000000000000e+00,4.040000000000000000e+02,1.501618231200000082e+02,1.501617517599999871e+02,2.110212206499999965e+00,2.110196558500000208e+00,1.501618230999999923e+02,1.501617517999999905e+02,2.110212199999999871e+00,2.110196600000000089e+00,9.709999999999999742e-01,5.530000000000000249e+00,4.109999999999999765e-01,3.701000000000000068e+00
9.171284000000000467e-04,4.053916000000000253e+01,1.276410999999999865e-04,1.691323000000000132e-01,3.815204999999999898e-03,4.156367000000000189e+01,5.755654999999999495e-04,2.157685000000000020e-01,1.175805000000000036e-03,1.555827999999999985e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.508256000000000082e-04,3.012176999999999771e-01,9.000000000000000000e+00,6.120000000000000000e+02,1.501553255499999864e+02,1.501553473399999916e+02,2.177011725099999850e+00,2.177123283599999848e+00,1.501553255999999976e+02,1.501553472999999883e+02,2.177011699999999994e+00,2.177123299999999873e+00,1.760999999999999899e+00,6.552999999999999936e+00,5.729999999999999538e-01,4.075000000000000178e+00
8.033811999999999984e-04,4.053916000000000253e+01,1.125687999999999987e-04,1.691323000000000132e-01,4.406656000000000115e-03,4.156367000000000189e+01,4.925173999999999611e-04,2.157685000000000020e-01,1.175863000000000082e-03,1.555827999999999985e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.681867999999999937e-04,3.012176999999999771e-01,7.000000000000000000e+00,6.120000000000000000e+02,1.501555425299999911e+02,1.501553473399999916e+02,2.176984886100000072e+00,2.177123283599999848e+00,1.501555424999999957e+02,1.501553472999999883e+02,2.176984899999999890e+00,2.177123299999999873e+00,1.479000000000000092e+00,6.552999999999999936e+00,5.410000000000000364e-01,4.075000000000000178e+00
8.001339999999999798e-04,8.847405000000000186e+00,1.203412000000000058e-04,8.097648999999999819e-02,1.747140000000000108e-03,9.198681000000000552e+00,3.559740000000000040e-04,1.010179999999999967e-01,1.173821999999999930e-03,1.457526999999999911e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.507304999999999962e-04,2.424797999999999953e-01,8.000000000000000000e+00,1.400000000000000000e+02,1.501652400199999988e+02,1.501650952999999902e+02,2.104577564199999973e+00,2.104396103700000076e+00,1.501652400000000114e+02,1.501650952999999902e+02,2.104577599999999826e+00,2.104396100000000214e+00,1.500999999999999890e+00,2.584000000000000075e+00,4.219999999999999862e-01,2.505999999999999783e+00
5.071496999999999464e-04,3.305289000000000144e+00,1.042185000000000051e-04,5.690002999999999728e-02,1.510192000000000045e-03,4.116172999999999860e+00,2.622775000000000041e-04,1.093931999999999960e-01,1.178276999999999927e-03,1.705078999999999970e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.551877000000000117e-04,1.001119000000000037e-01,4.000000000000000000e+00,7.600000000000000000e+01,1.501613538500000118e+02,1.501613879999999881e+02,2.141463493299999854e+00,2.141546084099999803e+00,1.501613538999999946e+02,1.501613879999999881e+02,2.141463499999999964e+00,2.141546099999999786e+00,7.940000000000000391e-01,2.148000000000000131e+00,5.000000000000000000e-01,2.120000000000000107e+00
4.850082000000000026e-04,3.026043000000000038e+00,9.513803999999999891e-05,4.747666999999999859e-02,1.462891999999999925e-03,3.993530999999999942e+00,3.068109999999999869e-04,8.297619999999999996e-02,1.176263999999999999e-03,2.017215000000000154e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.107743000000000009e-04,1.263849999999999973e-01,5.000000000000000000e+00,5.400000000000000000e+01,1.501567549600000007e+02,1.501569433399999980e+02,2.186456595900000188e+00,2.186621097799999802e+00,1.501567550000000040e+02,1.501569432999999947e+02,2.186456600000000083e+00,2.186621099999999984e+00,7.409999999999999920e-01,1.931999999999999940e+00,4.550000000000000155e-01,1.848000000000000087e+00
7.757617999999999762e-04,3.701413000000000153e+01,1.125687999999999987e-04,1.868609999999999993e-01,1.666605000000000040e-03,4.503697999999999979e+01,3.350156000000000184e-04,3.119172000000000056e-01,1.179724999999999958e-03,1.546375000000000006e-03,6.382054000000000611e-05,9.602629999999999152e-03,2.078301000000000009e-04,1.766613999999999962e-01,6.000000000000000000e+00,7.930000000000000000e+02,1.501657234200000062e+02,1.501656136800000070e+02,2.133514373700000188e+00,2.133648997999999963e+00,1.501657233999999903e+02,1.501656136999999944e+02,2.133514400000000144e+00,2.133649000000000129e+00,1.199999999999999956e+00,1.051500000000000057e+01,4.369999999999999996e-01,5.049000000000000377e+00
1.322533999999999993e-03,6.326721000000000039e+00,1.647839000000000064e-04,6.106882999999999756e-02,5.357040999999999886e-03,8.630988000000000326e+00,5.432040000000000392e-04,1.164696999999999955e-01,1.177153000000000010e-03,1.855017999999999945e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.404067000000000054e-04,1.701149000000000133e-01,8.000000000000000000e+00,8.700000000000000000e+01,1.501598922000000016e+02,1.501600246200000015e+02,2.193256882800000085e+00,2.193123391699999924e+00,1.501598922000000016e+02,1.501600246000000141e+02,2.193256900000000176e+00,2.193123400000000167e+00,1.556000000000000050e+00,2.866000000000000103e+00,4.680000000000000271e-01,1.977000000000000091e+00
6.749724999999999822e-04,6.326721000000000039e+00,1.125687999999999987e-04,6.106882999999999756e-02,3.996974999999999834e-03,8.630988000000000326e+00,4.621790000000000078e-04,1.164696999999999955e-01,1.177134000000000036e-03,1.855017999999999945e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.168590999999999939e-04,1.701149000000000133e-01,6.000000000000000000e+00,8.700000000000000000e+01,1.501599394300000085e+02,1.501600246200000015e+02,2.193064530400000045e+00,2.193123391699999924e+00,1.501599394000000132e+02,1.501600246000000141e+02,2.193064500000000194e+00,2.193123400000000167e+00,1.209000000000000075e+00,2.866000000000000103e+00,4.309999999999999942e-01,1.977000000000000091e+00
5.673333999999999712e-04,1.947972000000000037e-01,1.042185000000000051e-04,2.395316999999999932e-02,1.080105999999999948e-03,7.968587999999999782e-01,2.622775000000000041e-04,1.034235000000000015e-01,1.179352999999999955e-03,1.557720000000000068e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.323645000000000030e-04,2.456119999999999831e-02,6.000000000000000000e+00,1.000000000000000000e+01,1.501677581399999895e+02,1.501675610400000096e+02,2.123371100199999972e+00,2.123356937700000113e+00,1.501677580999999861e+02,1.501675610000000063e+02,2.123371099999999956e+00,2.123356900000000103e+00,7.990000000000000435e-01,1.687999999999999945e+00,4.989999999999999991e-01,6.720000000000000417e-01
1.613129999999999946e-03,2.099104000000000170e+01,1.701880999999999978e-04,1.308842000000000061e-01,2.980131000000000013e-03,2.167421999999999827e+01,5.193526000000000392e-04,1.802749999999999908e-01,1.176013000000000058e-03,1.783181000000000002e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.798411000000000085e-04,1.665236999999999967e-01,9.000000000000000000e+00,3.820000000000000000e+02,1.501600034500000049e+02,1.501598267599999872e+02,2.198665187200000037e+00,2.198773749599999938e+00,1.501600034999999878e+02,1.501598267999999905e+02,2.198665200000000208e+00,2.198773699999999831e+00,1.423000000000000043e+00,5.450999999999999623e+00,5.590000000000000524e-01,3.774999999999999911e+00
6.980070999999999802e-04,2.201044999999999874e+01,1.042185000000000051e-04,1.130774999999999975e-01,1.883672999999999988e-03,2.270628999999999920e+01,3.585075999999999758e-04,1.437190000000000134e-01,1.176958999999999991e-03,1.627290999999999894e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.582861000000000023e-04,3.077074000000000198e-01,6.000000000000000000e+00,2.910000000000000000e+02,1.501608912599999996e+02,1.501607045599999992e+02,2.203766325500000178e+00,2.203762262500000180e+00,1.501608913000000030e+02,1.501607046000000025e+02,2.203766299999999845e+00,2.203762300000000174e+00,7.820000000000000284e-01,4.687999999999999723e+00,5.000000000000000000e-01,2.798999999999999932e+00
1.595400999999999981e-03,7.355149000000000115e+01,1.647839000000000064e-04,1.644639999999999991e-01,4.134266999999999630e-03,7.450793000000000177e+01,5.596187999999999553e-04,1.882812000000000097e-01,1.179251000000000084e-03,1.305448000000000068e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.461380000000000025e-04,5.866012999999999922e-01,1.300000000000000000e+01,6.300000000000000000e+02,1.501717386699999963e+02,1.501718023200000118e+02,2.116280593099999940e+00,2.116394821200000109e+00,1.501717386999999917e+02,1.501718022999999960e+02,2.116280600000000067e+00,2.116394800000000131e+00,1.245999999999999996e+00,6.727999999999999758e+00,8.780000000000000027e-01,3.339999999999999858e+00
7.235355000000000389e-04,1.288429000000000046e+00,9.513803999999999891e-05,5.580919000000000157e-02,8.999674999999999515e-04,2.837394000000000194e+00,1.473872000000000040e-04,1.649616000000000138e-01,1.179282000000000030e-03,1.408008999999999997e-03,6.382054000000000611e-05,9.602629999999999152e-03,2.045121999999999966e-04,3.362091999999999858e-02,5.000000000000000000e+00,6.700000000000000000e+01,1.501718350699999860e+02,1.501716862000000106e+02,2.118169340300000147e+00,2.118299842299999902e+00,1.501718351000000098e+02,1.501716862000000106e+02,2.118169299999999922e+00,2.118299799999999955e+00,7.229999999999999760e-01,3.234999999999999876e+00,4.540000000000000147e-01,1.691999999999999948e+00
6.923765999999999601e-04,1.881143000000000121e-01,1.125687999999999987e-04,2.308185000000000098e-02,1.242311999999999974e-03,5.701977999999999769e-01,2.330397000000000111e-04,7.735267999999999311e-02,1.176635000000000094e-03,1.668392000000000095e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.423879000000000128e-04,1.909877999999999923e-02,6.000000000000000000e+00,1.200000000000000000e+01,1.501631462699999986e+02,1.501631671099999892e+02,2.196294331199999839e+00,2.196146919299999833e+00,1.501631462999999940e+02,1.501631671000000097e+02,2.196294299999999922e+00,2.196146900000000013e+00,1.020999999999999908e+00,1.056000000000000050e+00,4.769999999999999796e-01,9.010000000000000231e-01
4.905811999999999846e-04,3.458515999999999813e-01,9.513803999999999891e-05,3.002687999999999885e-02,6.758781000000000164e-04,5.386083999999999872e-01,1.473872000000000040e-04,7.355053999999999759e-02,1.177686000000000054e-03,1.572840999999999953e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.423073000000000122e-04,3.449002000000000318e-02,4.000000000000000000e+00,1.900000000000000000e+01,1.501682462800000053e+02,1.501683198100000141e+02,2.160328429899999847e+00,2.160267853700000185e+00,1.501682462999999927e+02,1.501683198000000061e+02,2.160328400000000038e+00,2.160267900000000019e+00,7.359999999999999876e-01,1.300000000000000044e+00,4.510000000000000120e-01,1.181999999999999940e+00
4.174857999999999933e-04,2.570626999999999773e-01,9.513803999999999891e-05,2.560700999999999949e-02,1.099937000000000050e-03,4.357112000000000207e-01,2.789994999999999975e-04,5.040744999999999948e-02,1.177457999999999934e-03,1.316284999999999938e-03,6.382054000000000611e-05,9.602629999999999152e-03,9.072351000000000037e-05,3.022814999999999877e-02,5.000000000000000000e+00,1.300000000000000000e+01,1.501678450400000031e+02,1.501679843599999913e+02,2.163338599099999815e+00,2.163243834299999779e+00,1.501678449999999998e+02,1.501679843999999946e+02,2.163338599999999889e+00,2.163243800000000050e+00,7.530000000000000027e-01,1.139999999999999902e+00,4.520000000000000129e-01,9.529999999999999583e-01
1.280275999999999897e-03,3.349300000000000055e-01,1.647839000000000064e-04,2.933652000000000135e-02,4.935575000000000205e-03,6.679760000000000142e-01,6.410355999999999650e-04,7.655383000000000326e-02,1.177387999999999916e-03,1.363003999999999908e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.400041000000000035e-04,3.370109999999999773e-02,9.000000000000000000e+00,1.800000000000000000e+01,1.501683162900000070e+02,1.501684490400000129e+02,2.165714662800000134e+00,2.165692281100000116e+00,1.501683162999999865e+02,1.501684490000000096e+02,2.165714700000000104e+00,2.165692299999999904e+00,1.284000000000000030e+00,1.562999999999999945e+00,9.060000000000000275e-01,9.449999999999999512e-01
6.365591000000000088e-04,4.953750000000000142e+01,1.042185000000000051e-04,1.377492999999999912e-01,1.809564000000000051e-03,5.007511000000000223e+01,3.155372000000000255e-04,1.569408999999999943e-01,1.177747000000000039e-03,1.634264000000000073e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.411833999999999941e-04,6.359139999999999793e-01,5.000000000000000000e+00,4.390000000000000000e+02,1.501749993800000027e+02,1.501750032399999952e+02,2.106731132200000189e+00,2.106914018699999946e+00,1.501749993999999901e+02,1.501750031999999919e+02,2.106731100000000190e+00,2.106914000000000176e+00,8.010000000000000453e-01,4.716000000000000192e+00,5.000000000000000000e-01,3.306000000000000050e+00
7.185006000000000509e-04,1.607118999999999909e-01,1.125687999999999987e-04,2.217631999999999937e-02,1.285354999999999961e-03,5.148557999999999746e-01,1.995632000000000005e-04,8.371378000000000152e-02,1.177167999999999921e-03,1.750788000000000084e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.498206999999999935e-04,2.190322000000000102e-02,6.000000000000000000e+00,8.000000000000000000e+00,1.501673431300000061e+02,1.501674240000000111e+02,2.175073455600000205e+00,2.175169117499999860e+00,1.501673431000000107e+02,1.501674240000000111e+02,2.175073499999999882e+00,2.175169100000000189e+00,9.939999999999999947e-01,1.231999999999999984e+00,4.749999999999999778e-01,8.719999999999999973e-01
4.766691999999999999e-04,3.964637999999999773e-01,9.513803999999999891e-05,3.070172999999999999e-02,8.850547000000000492e-04,8.057336000000000498e-01,1.473872000000000040e-04,9.538396999999999848e-02,1.166022000000000065e-03,1.206533999999999992e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.172420000000000000e-04,2.665495999999999838e-02,4.000000000000000000e+00,2.200000000000000000e+01,1.501566519000000142e+02,1.501567832700000054e+02,2.272637145100000033e+00,2.272765829499999946e+00,1.501566519000000142e+02,1.501567833000000007e+02,2.272637099999999855e+00,2.272765800000000169e+00,9.679999999999999716e-01,1.401000000000000023e+00,3.489999999999999769e-01,1.137999999999999901e+00
8.313218999999999730e-04,1.829190000000000094e+00,1.125687999999999987e-04,4.958777000000000323e-02,1.574396999999999949e-03,2.084102999999999817e+00,3.403761999999999955e-04,7.327142000000000377e-02,1.181051999999999927e-03,1.473209999999999971e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.528757000000000108e-04,7.180514000000000341e-02,7.000000000000000000e+00,5.700000000000000000e+01,1.501730367300000069e+02,1.501729571399999941e+02,2.129536836699999824e+00,2.129585038700000155e+00,1.501730367000000115e+02,1.501729570999999908e+02,2.129536799999999896e+00,2.129585000000000061e+00,1.310999999999999943e+00,1.917999999999999927e+00,4.510000000000000120e-01,1.784000000000000030e+00
5.574067000000000041e-04,1.062081000000000053e+00,9.513803999999999891e-05,4.481227000000000127e-02,1.025487000000000056e-03,1.312070000000000070e+00,1.701880999999999978e-04,7.012769000000000641e-02,1.169949999999999896e-03,1.244792999999999898e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.618686000000000040e-04,5.039675999999999878e-02,4.000000000000000000e+00,4.000000000000000000e+01,1.501588730100000078e+02,1.501587459799999920e+02,2.258312881500000202e+00,2.258262875499999822e+00,1.501588729999999998e+02,1.501587460000000078e+02,2.258312899999999956e+00,2.258262900000000073e+00,8.080000000000000515e-01,1.808999999999999941e+00,4.899999999999999911e-01,1.675000000000000044e+00
8.480951999999999501e-04,2.155091999999999786e+00,1.203412000000000058e-04,5.725902000000000075e-02,2.077516000000000172e-03,2.458169999999999966e+00,4.168740000000000206e-04,8.754264999999999963e-02,1.176348999999999928e-03,1.460106000000000077e-03,6.382054000000000611e-05,9.602629999999999152e-03,2.097501000000000096e-04,6.755004000000000564e-02,6.000000000000000000e+00,7.400000000000000000e+01,1.501637923799999896e+02,1.501639798600000120e+02,2.217253508299999787e+00,2.217228995000000147e+00,1.501637924000000055e+02,1.501639798999999869e+02,2.217253499999999988e+00,2.217229000000000116e+00,8.259999999999999565e-01,2.492999999999999883e+00,6.530000000000000249e-01,1.877999999999999892e+00
7.056439000000000288e-04,8.148583999999999605e+00,1.125687999999999987e-04,8.730826999999999338e-02,2.876516999999999876e-03,9.248661999999999495e+00,4.832413000000000246e-04,1.390817000000000025e-01,1.177057000000000016e-03,1.678103999999999924e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.480944999999999896e-04,1.992692000000000074e-01,7.000000000000000000e+00,1.750000000000000000e+02,1.501692843300000106e+02,1.501693979599999977e+02,2.168667250099999944e+00,2.168560349299999856e+00,1.501692842999999868e+02,1.501693980000000010e+02,2.168667300000000075e+00,2.168560300000000218e+00,1.425000000000000044e+00,3.229999999999999982e+00,4.490000000000000102e-01,2.531000000000000139e+00
4.421073000000000190e-03,6.476748999999999512e+01,2.822251000000000230e-04,1.984544000000000030e-01,8.820454000000000142e-03,6.652666000000000679e+01,9.608470999999999505e-04,2.856502000000000208e-01,1.178688000000000001e-03,1.771222999999999938e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.783734999999999889e-04,4.496458999999999873e-01,3.200000000000000000e+01,8.850000000000000000e+02,1.501764474000000007e+02,1.501764795999999933e+02,2.111752466300000020e+00,2.111816284300000124e+00,1.501764474000000007e+02,1.501764795999999933e+02,2.111752500000000143e+00,2.111816300000000091e+00,2.821000000000000174e+00,1.046899999999999942e+01,1.284000000000000030e+00,4.942000000000000171e+00
4.377629000000000103e-01,2.227978000000000065e+03,2.056390999999999861e-03,5.169985000000000275e-01,5.163769999999999749e-01,2.213672999999999774e+03,3.789790999999999820e-03,5.054142000000000357e-01,1.184057999999999986e-03,1.467881000000000090e-03,6.382054000000000611e-05,9.602629999999999152e-03,1.230287999999999955e-03,5.097698000000000285e+00,2.069000000000000000e+03,6.278000000000000000e+03,1.501837933500000020e+02,1.501836242800000036e+02,2.115736679599999892e+00,2.115691970299999891e+00,1.501837934000000132e+02,1.501836242999999911e+02,2.115736699999999804e+00,2.115692000000000128e+00,1.463199999999999967e+01,1.427599999999999980e+01,9.214999999999999858e+00,1.134500000000000064e+01
