bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
1.612680000000000016e-02,2.781247999999999837e-04,7.381837999999999508e-04,3.452665999999999987e-05,4.166069999999999908e-04,1.280000000000000000e+02,1.978292018399999961e+02,-1.464115587200000013e+00,1.978292017999999928e+02,-1.464115599999999962e+00,3.701000000000000068e+00,2.476999999999999869e+00
1.752812999999999941e-02,2.847141999999999989e-04,7.381573999999999471e-04,3.452665999999999987e-05,4.114461000000000247e-04,1.400000000000000000e+02,1.978291247299999895e+02,-1.463874800199999937e+00,1.978291246999999942e+02,-1.463874799999999921e+00,4.424000000000000377e+00,2.362999999999999989e+00
2.234262999999999787e-03,1.437459999999999888e-04,7.401747000000000404e-04,3.452665999999999987e-05,1.235169000000000100e-04,3.400000000000000000e+01,1.978321470299999874e+02,-1.469403601400000037e+00,1.978321469999999920e+02,-1.469403599999999921e+00,2.095000000000000195e+00,1.401000000000000023e+00
1.046747999999999906e-03,1.003322000000000014e-04,7.375265999999999463e-04,3.452665999999999987e-05,1.225480999999999999e-04,1.400000000000000000e+01,1.978269813999999940e+02,-1.462074492399999981e+00,1.978269813999999940e+02,-1.462074499999999944e+00,2.025999999999999801e+00,7.189999999999999725e-01
4.703765000000000051e-04,6.510409999999999895e-05,7.361152999999999620e-04,3.452665999999999987e-05,8.214619999999999626e-05,8.000000000000000000e+00,1.978260125399999936e+02,-1.458143264300000075e+00,1.978260124999999903e+02,-1.458143299999999920e+00,1.070000000000000062e+00,5.230000000000000204e-01
2.127429000000000126e-01,5.121131999999999811e-04,7.433267000000000129e-04,3.452665999999999987e-05,1.326934999999999920e-02,4.060000000000000000e+02,1.978364181400000064e+02,-1.469163825200000106e+00,1.978364181000000031e+02,-1.469163800000000020e+00,3.092999999999999972e+00,2.826000000000000068e+00
3.173401000000000173e-03,1.643798000000000080e-04,7.359953999999999498e-04,3.452665999999999987e-05,1.359428999999999889e-04,3.600000000000000000e+01,1.978256591999999898e+02,-1.456211728099999991e+00,1.978256591999999898e+02,-1.456211700000000109e+00,2.170999999999999819e+00,1.487999999999999989e+00
2.320213000000000136e-02,3.351439000000000219e-04,7.361813999999999511e-04,3.452665999999999987e-05,5.529283000000000505e-04,1.830000000000000000e+02,1.978297058699999980e+02,-1.459388818200000104e+00,1.978297058999999933e+02,-1.459388799999999931e+00,4.600999999999999979e+00,2.362999999999999989e+00
5.222770999999999664e-02,5.638180000000000015e-04,7.352020000000000126e-04,3.452665999999999987e-05,2.522817999999999805e-04,5.040000000000000000e+02,1.978291016100000093e+02,-1.453354983899999953e+00,1.978291016000000013e+02,-1.453354999999999952e+00,6.916000000000000369e+00,5.261999999999999567e+00
3.390003999999999847e-03,1.812422000000000111e-04,7.358351000000000388e-04,3.452665999999999987e-05,9.665015000000000162e-05,3.700000000000000000e+01,1.978257912200000135e+02,-1.455327057000000091e+00,1.978257911999999976e+02,-1.455327100000000096e+00,2.177999999999999936e+00,2.056000000000000050e+00
