bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
4.290292999999999711e-03,1.322309999999999881e-04,1.075823999999999964e-03,1.849590000000000023e-05,9.510422000000000472e-05,9.500000000000000000e+01,1.978503526499999907e+02,-1.462707170899999909e+00,1.978503526000000079e+02,-1.462707200000000096e+00,3.424999999999999822e+00,2.278999999999999915e+00
8.699566999999999847e-04,6.407168999999999777e-05,1.076029000000000048e-03,1.849590000000000023e-05,7.462920999999999422e-05,1.600000000000000000e+01,1.978566632799999923e+02,-1.472227996700000041e+00,1.978566633000000081e+02,-1.472228000000000092e+00,1.381000000000000005e+00,8.529999999999999805e-01
3.139807000000000210e-04,3.699181000000000116e-05,1.075795999999999957e-03,1.849590000000000023e-05,5.468645000000000222e-05,8.000000000000000000e+00,1.978553479200000140e+02,-1.467660667300000110e+00,1.978553478999999982e+02,-1.467660699999999929e+00,8.729999999999999982e-01,7.600000000000000089e-01
3.759661000000000079e-03,1.031652000000000063e-04,1.075215999999999932e-03,1.849590000000000023e-05,1.982227999999999887e-04,5.900000000000000000e+01,1.978291954499999861e+02,-1.424674251199999908e+00,1.978291954000000032e+02,-1.424674299999999949e+00,2.113999999999999879e+00,1.754000000000000004e+00
2.560334000000000047e-03,1.053526999999999985e-04,1.075392000000000101e-03,1.849590000000000023e-05,1.115791000000000038e-04,6.300000000000000000e+01,1.978439728900000034e+02,-1.444377212500000063e+00,1.978439729000000114e+02,-1.444377199999999917e+00,2.736000000000000210e+00,1.895000000000000018e+00
1.372078999999999938e-01,3.134011000000000240e-04,1.075603000000000063e-03,1.849590000000000023e-05,7.976881999999999376e-03,5.610000000000000000e+02,1.978507353100000046e+02,-1.450516241699999931e+00,1.978507352999999966e+02,-1.450516200000000033e+00,3.732000000000000206e+00,3.436999999999999833e+00
5.921749999999999931e-03,1.031652000000000063e-04,1.075477000000000030e-03,1.849590000000000023e-05,5.974030000000000399e-04,5.900000000000000000e+01,1.978413393699999858e+02,-1.440884821500000079e+00,1.978413394000000096e+02,-1.440884800000000077e+00,1.860000000000000098e+00,1.624000000000000110e+00
6.531182000000000177e-04,4.775622000000000336e-05,1.075381999999999944e-03,1.849590000000000023e-05,1.016281999999999971e-04,1.400000000000000000e+01,1.978345186699999942e+02,-1.431112919400000072e+00,1.978345186999999896e+02,-1.431112900000000021e+00,1.102999999999999980e+00,9.000000000000000222e-01
1.561950000000000100e-03,6.865388000000000209e-05,1.075390000000000070e-03,1.849590000000000023e-05,1.711355000000000016e-04,2.600000000000000000e+01,1.978446139499999958e+02,-1.445276348900000007e+00,1.978446140000000071e+02,-1.445276299999999958e+00,1.377999999999999892e+00,1.241000000000000103e+00
2.467786999999999824e-04,3.487620999999999723e-05,1.075390000000000070e-03,1.849590000000000023e-05,4.740187000000000225e-05,7.000000000000000000e+00,1.978452961200000004e+02,-1.446295714999999982e+00,1.978452961000000130e+02,-1.446295700000000073e+00,1.062000000000000055e+00,5.639999999999999458e-01
2.815542999999999887e-04,3.699181000000000116e-05,1.075524999999999919e-03,1.849590000000000023e-05,6.050197000000000241e-05,8.000000000000000000e+00,1.978423357199999941e+02,-1.441273184499999971e+00,1.978423357000000067e+02,-1.441273199999999921e+00,8.940000000000000169e-01,6.929999999999999494e-01
2.788245000000000068e-04,3.699181000000000116e-05,1.075308999999999987e-03,1.849590000000000023e-05,5.285919000000000305e-05,7.000000000000000000e+00,1.978471281299999873e+02,-1.447705596600000089e+00,1.978471280999999919e+02,-1.447705599999999926e+00,1.364000000000000101e+00,5.420000000000000373e-01
2.268338999999999967e-04,3.487620999999999723e-05,1.075470999999999936e-03,1.849590000000000023e-05,4.589708999999999732e-05,6.000000000000000000e+00,1.978265254000000084e+02,-1.415972138199999897e+00,1.978265254000000084e+02,-1.415972100000000067e+00,1.074999999999999956e+00,5.659999999999999476e-01
9.655601999999999241e-03,1.169784000000000047e-04,1.075414000000000014e-03,1.849590000000000023e-05,8.336122999999999537e-04,8.000000000000000000e+01,1.978350205899999992e+02,-1.427331331600000031e+00,1.978350206000000071e+02,-1.427331300000000081e+00,2.154999999999999805e+00,1.701000000000000068e+00
4.876317999999999820e-04,5.231431000000000227e-05,1.075289000000000106e-03,1.849590000000000023e-05,5.844979999999999729e-05,6.000000000000000000e+00,1.978381428399999891e+02,-1.433165260800000063e+00,1.978381428000000142e+02,-1.433165299999999975e+00,1.149000000000000021e+00,5.590000000000000524e-01
1.960437999999999948e-04,3.020367999999999878e-05,1.075358999999999907e-03,1.849590000000000023e-05,6.216589999999999378e-05,5.000000000000000000e+00,1.978272507800000142e+02,-1.413207504000000059e+00,1.978272508000000016e+02,-1.413207499999999950e+00,8.090000000000000524e-01,4.969999999999999973e-01
2.172928999999999876e-04,3.487620999999999723e-05,1.075601999999999938e-03,1.849590000000000023e-05,3.858154999999999994e-05,6.000000000000000000e+00,1.978672348599999964e+02,-1.471673446100000060e+00,1.978672348999999997e+02,-1.471673400000000020e+00,1.739000000000000101e+00,3.760000000000000009e-01
4.227607999999999995e-04,4.445862000000000295e-05,1.075760999999999948e-03,1.849590000000000023e-05,7.382908000000000634e-05,1.200000000000000000e+01,1.978578330699999981e+02,-1.455951784500000068e+00,1.978578330999999935e+02,-1.455951800000000018e+00,1.443999999999999950e+00,9.040000000000000258e-01
1.597366999999999982e-04,2.757206000000000042e-05,1.075290000000000013e-03,1.849590000000000023e-05,4.403932999999999904e-05,4.000000000000000000e+00,1.978352740400000016e+02,-1.422289941999999918e+00,1.978352739999999983e+02,-1.422289899999999996e+00,1.155999999999999917e+00,4.719999999999999751e-01
1.431339999999999913e-03,8.805810999999999706e-05,1.075835000000000029e-03,1.849590000000000023e-05,4.850118000000000105e-05,4.100000000000000000e+01,1.978606170500000019e+02,-1.459018236999999996e+00,1.978606169999999906e+02,-1.459018200000000043e+00,2.373000000000000220e+00,1.885000000000000009e+00
1.576131000000000038e-04,2.757206000000000042e-05,1.075301000000000078e-03,1.849590000000000023e-05,4.724796999999999683e-05,4.000000000000000000e+00,1.978426690699999995e+02,-1.432519105299999929e+00,1.978426690999999948e+02,-1.432519099999999934e+00,7.439999999999999947e-01,4.530000000000000138e-01
6.267868000000000224e-03,1.024257000000000043e-04,1.075631999999999977e-03,1.849590000000000023e-05,5.589224999999999532e-04,6.000000000000000000e+01,1.978683433999999863e+02,-1.469208158400000075e+00,1.978683433999999863e+02,-1.469208199999999964e+00,1.808000000000000052e+00,1.612999999999999989e+00
2.545805000000000268e-04,3.487620999999999723e-05,1.075231999999999967e-03,1.849590000000000023e-05,5.293183000000000241e-05,6.000000000000000000e+00,1.978394267300000138e+02,-1.425879603100000059e+00,1.978394266999999900e+02,-1.425879600000000025e+00,1.076999999999999957e+00,6.580000000000000293e-01
