bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
5.699066000000000028e-03,2.315461999999999956e-04,1.102632000000000091e-03,4.911837999999999914e-05,2.895991000000000103e-04,4.700000000000000000e+01,1.978258450099999948e+02,-1.472847932200000098e+00,1.978258449999999868e+02,-1.472847900000000099e+00,2.019000000000000128e+00,1.560000000000000053e+00
1.171743999999999986e+01,2.027054999999999829e-03,1.111447999999999907e-03,4.911837999999999914e-05,6.770270000000000454e-01,3.537000000000000000e+03,1.978367229499999951e+02,-1.473889739000000088e+00,1.978367229000000123e+02,-1.473889699999999969e+00,5.705000000000000071e+00,5.011999999999999567e+00
1.456087000000000006e-02,2.778554999999999827e-04,1.102871000000000060e-03,4.911837999999999914e-05,1.327643000000000096e-03,6.400000000000000000e+01,1.978285166899999865e+02,-1.470999574799999987e+00,1.978285166999999944e+02,-1.470999600000000074e+00,1.943999999999999950e+00,1.711000000000000076e+00
6.040916000000000341e-03,2.680342000000000163e-04,1.104315000000000027e-03,4.911837999999999914e-05,2.151343999999999913e-04,5.200000000000000000e+01,1.978320588400000020e+02,-1.474877612400000038e+00,1.978320587999999987e+02,-1.474877599999999900e+00,2.494000000000000217e+00,1.760000000000000009e+00
9.280687999999999438e-02,6.029101999999999725e-04,1.109858999999999932e-03,4.911837999999999914e-05,6.276577000000000198e-03,2.310000000000000000e+02,1.978346318899999972e+02,-1.474587590699999895e+00,1.978346319000000051e+02,-1.474587599999999998e+00,2.932999999999999829e+00,2.751999999999999780e+00
3.924145999999999884e-03,2.071013000000000021e-04,1.102997999999999999e-03,4.911837999999999914e-05,1.987267000000000026e-04,3.600000000000000000e+01,1.978279365699999914e+02,-1.465995180499999995e+00,1.978279365999999868e+02,-1.465995200000000054e+00,2.137999999999999901e+00,1.274000000000000021e+00
4.201820000000000099e-04,7.322135000000000666e-05,1.103318999999999958e-03,4.911837999999999914e-05,1.085284000000000026e-04,5.000000000000000000e+00,1.978310672400000101e+02,-1.471333356699999984e+00,1.978310672000000068e+02,-1.471333400000000013e+00,7.740000000000000213e-01,4.349999999999999978e-01
1.798158999999999912e-03,1.389277000000000014e-04,1.105894000000000061e-03,4.911837999999999914e-05,2.401485000000000132e-04,1.500000000000000000e+01,1.978332311300000015e+02,-1.473869580899999976e+00,1.978332311000000061e+02,-1.473869600000000002e+00,1.372000000000000108e+00,8.439999999999999725e-01
6.325329000000000368e-02,7.351366000000000454e-04,1.105237999999999924e-03,4.911837999999999914e-05,3.496244000000000131e-04,4.490000000000000000e+02,1.978354894699999988e+02,-1.445263919100000072e+00,1.978354894999999942e+02,-1.445263900000000046e+00,1.516300000000000026e+01,2.617999999999999883e+00
3.627593999999999957e-02,4.966114000000000205e-04,1.103183999999999892e-03,4.911837999999999914e-05,8.215924999999999574e-04,2.100000000000000000e+02,1.978291941399999985e+02,-1.464125784499999972e+00,1.978291940999999952e+02,-1.464125799999999922e+00,4.453000000000000291e+00,3.357000000000000206e+00
1.349719000000000092e-03,1.389277000000000014e-04,1.102920999999999980e-03,4.911837999999999914e-05,1.409906000000000050e-04,1.500000000000000000e+01,1.978285757499999988e+02,-1.466026914399999992e+00,1.978285756999999876e+02,-1.466026899999999911e+00,1.407999999999999918e+00,9.280000000000000471e-01
1.178732000000000044e-02,2.910491000000000185e-04,1.103210999999999992e-03,4.911837999999999914e-05,3.997650999999999852e-04,7.400000000000000000e+01,1.978291108800000018e+02,-1.463885651600000060e+00,1.978291108999999892e+02,-1.463885700000000067e+00,3.040000000000000036e+00,2.001999999999999780e+00
4.319703000000000258e-03,2.292190999999999955e-04,1.103414999999999951e-03,4.911837999999999914e-05,1.646093999999999964e-04,4.200000000000000000e+01,1.978321439199999929e+02,-1.469419893500000018e+00,1.978321439000000055e+02,-1.469419899999999890e+00,2.325000000000000178e+00,1.566999999999999948e+00
1.089995999999999977e-03,1.268231000000000089e-04,1.103344999999999933e-03,4.911837999999999914e-05,1.197040999999999980e-04,1.200000000000000000e+01,1.978269902700000102e+02,-1.462052256700000052e+00,1.978269903000000056e+02,-1.462052300000000082e+00,1.731000000000000094e+00,7.830000000000000293e-01
1.053036000000000033e-03,1.225227999999999918e-04,1.103961000000000092e-03,4.911837999999999914e-05,1.397398000000000000e-04,1.000000000000000000e+01,1.978260382999999933e+02,-1.458191357200000038e+00,1.978260382999999933e+02,-1.458191400000000026e+00,1.288000000000000034e+00,8.499999999999999778e-01
2.938866999999999868e-02,4.654021999999999738e-04,1.103688000000000021e-03,4.911837999999999914e-05,6.613482000000000388e-04,1.840000000000000000e+02,1.978296974499999976e+02,-1.459380994400000020e+00,1.978296973999999864e+02,-1.459381000000000039e+00,4.708000000000000185e+00,2.254000000000000004e+00
1.801082999999999981e-03,1.637278999999999948e-04,1.103858000000000096e-03,4.911837999999999914e-05,1.241853000000000119e-04,1.000000000000000000e+01,1.978256224099999940e+02,-1.456204186399999934e+00,1.978256223999999861e+02,-1.456204199999999949e+00,1.137000000000000011e+00,8.830000000000000071e-01
1.399548000000000025e-03,1.535903999999999991e-04,1.103922000000000020e-03,4.911837999999999914e-05,1.394974999999999904e-04,1.100000000000000000e+01,1.978258129799999949e+02,-1.455280019099999933e+00,1.978258130000000108e+02,-1.455279999999999907e+00,1.691000000000000059e+00,8.890000000000000124e-01
9.349894999999999734e-02,4.596062000000000042e-04,1.106592999999999900e-03,4.911837999999999914e-05,5.683157999999999786e-03,1.760000000000000000e+02,1.978364132000000097e+02,-1.469163734299999913e+00,1.978364132000000097e+02,-1.469163699999999961e+00,2.486000000000000210e+00,2.271999999999999797e+00
4.419776000000000152e-04,7.322135000000000666e-05,1.103812999999999930e-03,4.911837999999999914e-05,1.161091000000000027e-04,5.000000000000000000e+00,1.978280943999999977e+02,-1.459059271699999938e+00,1.978280943999999977e+02,-1.459059300000000059e+00,7.520000000000000018e-01,4.520000000000000129e-01
3.141097999999999807e-02,4.619332999999999773e-04,1.103697000000000055e-03,4.911837999999999914e-05,4.409584999999999829e-04,1.790000000000000000e+02,1.978330492700000036e+02,-1.463485867800000007e+00,1.978330492999999990e+02,-1.463485900000000006e+00,3.418000000000000149e+00,3.194999999999999840e+00
1.660355000000000077e-03,1.500591000000000013e-04,1.110922999999999989e-03,4.911837999999999914e-05,1.311224999999999901e-04,1.900000000000000000e+01,1.978390457099999935e+02,-1.474145234699999918e+00,1.978390457000000140e+02,-1.474145199999999933e+00,1.655000000000000027e+00,9.170000000000000373e-01
6.492549999999999493e-04,9.261849999999999423e-05,1.103540999999999984e-03,4.911837999999999914e-05,1.371249000000000057e-04,6.000000000000000000e+00,1.978301157500000045e+02,-1.460664500999999893e+00,1.978301156999999932e+02,-1.460664500000000032e+00,8.060000000000000497e-01,6.850000000000000533e-01
5.312475999999999787e-04,8.663667999999999532e-05,1.103545999999999954e-03,4.911837999999999914e-05,9.170698000000000673e-05,7.000000000000000000e+00,1.978334673999999893e+02,-1.465549017699999901e+00,1.978334673999999893e+02,-1.465548999999999991e+00,8.820000000000000062e-01,6.169999999999999929e-01
1.022275999999999914e-03,1.225227999999999918e-04,1.103580999999999963e-03,4.911837999999999914e-05,1.111910999999999932e-04,1.200000000000000000e+01,1.978322579199999893e+02,-1.463258333500000008e+00,1.978322579000000019e+02,-1.463258299999999901e+00,1.477000000000000091e+00,8.239999999999999547e-01
4.026125999999999663e-03,1.964734999999999952e-04,1.109256999999999995e-03,4.911837999999999914e-05,4.255824999999999864e-04,3.400000000000000000e+01,1.978404464200000064e+02,-1.474333036600000035e+00,1.978404463999999905e+02,-1.474332999999999894e+00,1.608999999999999986e+00,1.362000000000000099e+00
1.164616999999999953e-03,1.268231000000000089e-04,1.103582000000000087e-03,4.911837999999999914e-05,1.252345000000000086e-04,1.300000000000000000e+01,1.978258511200000100e+02,-1.452472934300000018e+00,1.978258510999999942e+02,-1.452472900000000067e+00,1.731000000000000094e+00,1.433999999999999941e+00
3.051345999999999919e-02,5.830186000000000222e-04,1.103830999999999996e-03,4.911837999999999914e-05,2.550920000000000032e-04,2.780000000000000000e+02,1.978291257600000108e+02,-1.453322687400000035e+00,1.978291258000000141e+02,-1.453322699999999967e+00,5.471000000000000085e+00,4.225999999999999979e+00
4.368581999999999977e-04,7.322135000000000666e-05,1.103852999999999909e-03,4.911837999999999914e-05,1.584098999999999891e-04,4.000000000000000000e+00,1.978302837500000066e+02,-1.458670507399999927e+00,1.978302836999999954e+02,-1.458670499999999981e+00,7.580000000000000071e-01,4.530000000000000138e-01
5.249655999999999463e-04,8.663667999999999532e-05,1.103821000000000056e-03,4.911837999999999914e-05,1.381382000000000118e-04,6.000000000000000000e+00,1.978309014200000036e+02,-1.458853181600000104e+00,1.978309013999999877e+02,-1.458853200000000072e+00,7.449999999999999956e-01,6.660000000000000364e-01
3.074651999999999984e-04,7.322135000000000666e-05,1.107499999999999978e-03,4.911837999999999914e-05,7.486588000000000292e-05,4.000000000000000000e+00,1.978413606500000128e+02,-1.474654775000000084e+00,1.978413606999999956e+02,-1.474654799999999932e+00,7.640000000000000124e-01,4.450000000000000067e-01
9.428605999999999966e-04,1.134339999999999985e-04,1.103032000000000101e-03,4.911837999999999914e-05,1.359141000000000071e-04,9.000000000000000000e+00,1.978260464599999864e+02,-1.451163422100000044e+00,1.978260464999999897e+02,-1.451163399999999992e+00,1.205000000000000071e+00,7.009999999999999565e-01
1.053785999999999959e-02,2.835851000000000235e-04,1.107118000000000034e-03,4.911837999999999914e-05,5.156839000000000518e-04,6.300000000000000000e+01,1.978401036299999873e+02,-1.470674473200000110e+00,1.978401035999999920e+02,-1.470674500000000107e+00,2.299999999999999822e+00,1.802999999999999936e+00
2.891385999999999956e-02,4.193480999999999771e-04,1.104956999999999944e-03,4.911837999999999914e-05,7.552709000000000332e-04,1.480000000000000000e+02,1.978364503800000023e+02,-1.464471128100000019e+00,1.978364503999999897e+02,-1.464471099999999915e+00,4.081999999999999851e+00,2.008999999999999897e+00
1.088729000000000086e-03,1.180658999999999973e-04,1.104961999999999915e-03,4.911837999999999914e-05,1.344515000000000120e-04,1.200000000000000000e+01,1.978365964099999985e+02,-1.466319182599999937e+00,1.978365963999999906e+02,-1.466319200000000045e+00,1.272000000000000020e+00,7.920000000000000373e-01
2.903952000000000009e-03,1.909379000000000002e-04,1.105887999999999967e-03,4.911837999999999914e-05,1.869332000000000079e-04,3.300000000000000000e+01,1.978426176600000019e+02,-1.473716748600000015e+00,1.978426177000000052e+02,-1.473716699999999991e+00,2.129999999999999893e+00,1.193999999999999950e+00
