bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
6.322780000000000067e-03,2.530122000000000071e+01,1.841422000000000002e-04,5.444257000000000124e-01,8.701653999999999639e-03,3.558001999999999754e+01,3.844726999999999823e-04,1.192269999999999941e+00,7.396056000000000462e-04,1.375696000000000037e-03,3.452665999999999987e-05,6.735520000000000396e-02,2.655175999999999869e-04,5.695354000000000250e-01,5.800000000000000000e+01,1.200000000000000000e+02,1.978258555799999954e+02,1.978257199200000116e+02,-1.472829127900000090e+00,-1.472893015599999966e+00,1.978258556000000112e+02,1.978257198999999957e+02,-1.472829100000000002e+00,-1.472893000000000008e+00,2.366999999999999993e+00,2.833000000000000185e+00,1.651000000000000023e+00,2.626999999999999780e+00
1.306644999999999968e+01,1.986897000000000116e+04,1.718951999999999937e-03,3.096712000000000131e+00,1.259758000000000067e+01,1.932368000000000029e+04,8.950333999999999677e-04,1.933457999999999899e+00,7.488739000000000333e-04,1.458812999999999950e-02,3.452665999999999987e-05,6.735520000000000396e-02,7.217803999999999887e-01,1.115293999999999954e+02,5.061000000000000000e+03,4.467000000000000000e+03,1.978367156099999988e+02,1.978366362900000013e+02,-1.473890712700000050e+00,-1.473917237300000016e+00,1.978367155999999909e+02,1.978366363000000092e+02,-1.473890700000000109e+00,-1.473917200000000038e+00,6.594999999999999751e+00,7.012999999999999901e+00,5.942000000000000171e+00,6.868999999999999773e+00
1.823214000000000085e-02,7.018193999999999733e+01,2.278644000000000134e-04,6.140457000000000276e-01,1.931367000000000153e-02,7.525103000000000009e+01,3.096724999999999933e-04,8.555260000000000087e-01,7.394373000000000092e-04,1.280520999999999960e-03,3.452665999999999987e-05,6.735520000000000396e-02,1.786484000000000075e-03,1.708202999999999916e+00,7.900000000000000000e+01,1.720000000000000000e+02,1.978285109999999918e+02,1.978283854700000006e+02,-1.470988529500000030e+00,-1.471021840199999930e+00,1.978285109999999918e+02,1.978283854999999960e+02,-1.470988500000000032e+00,-1.471021799999999935e+00,2.153000000000000025e+00,2.883999999999999897e+00,1.697999999999999954e+00,2.712000000000000188e+00
1.188637000000000027e-02,4.604003999999999763e+01,2.819090000000000007e-04,6.705518000000000312e-01,1.776762999999999953e-02,5.234687000000000268e+01,7.120645000000000533e-04,1.003066999999999931e+00,7.435490000000000328e-04,2.397448999999999848e-03,3.452665999999999987e-05,6.735520000000000396e-02,2.541320999999999923e-04,6.073269000000000029e-01,1.360000000000000000e+02,2.100000000000000000e+02,1.978319964599999992e+02,1.978318714700000100e+02,-1.474885678799999988e+00,-1.474909696999999964e+00,1.978319965000000025e+02,1.978318715000000054e+02,-1.474885699999999966e+00,-1.474909699999999990e+00,3.676000000000000156e+00,3.878000000000000114e+00,2.725999999999999979e+00,3.204000000000000181e+00
9.984957000000000901e-04,2.613100000000000200e+00,9.490471999999999418e-05,2.153494999999999993e-01,2.262683000000000142e-03,5.923138999999999932e+00,3.247057000000000242e-04,6.286486000000000018e-01,7.381247999999999976e-04,3.880895999999999998e-03,3.452665999999999987e-05,6.735520000000000396e-02,8.801039000000000626e-05,2.133117999999999959e-01,1.400000000000000000e+01,1.900000000000000000e+01,1.978274415699999906e+02,1.978272917099999972e+02,-1.466202627599999975e+00,-1.466223703100000053e+00,1.978274415999999860e+02,1.978272916999999893e+02,-1.466202599999999912e+00,-1.466223700000000019e+00,1.590999999999999970e+00,1.596000000000000085e+00,8.920000000000000151e-01,1.062999999999999945e+00
1.235921000000000068e-03,5.256251999999999924e+00,1.003322000000000014e-04,3.078427000000000247e-01,2.124696000000000137e-03,1.076247000000000043e+01,2.800233000000000062e-04,9.641184000000000420e-01,7.443868000000000403e-04,5.116588000000000039e-03,3.452665999999999987e-05,6.735520000000000396e-02,1.592119999999999929e-04,2.149131999999999987e-01,1.500000000000000000e+01,3.900000000000000000e+01,1.978332176600000025e+02,1.978330936499999950e+02,-1.473894706899999907e+00,-1.473860162999999890e+00,1.978332177000000058e+02,1.978330936000000122e+02,-1.473894700000000002e+00,-1.473860200000000065e+00,1.370000000000000107e+00,2.515000000000000124e+00,9.659999999999999698e-01,1.429999999999999938e+00
4.398080999999999866e-03,1.722332000000000107e+01,1.691453999999999950e-04,4.512743000000000171e-01,6.402635000000000270e-03,2.459005000000000152e+01,3.966811999999999790e-04,9.493660000000000432e-01,7.381386999999999671e-04,3.435969000000000089e-03,3.452665999999999987e-05,6.735520000000000396e-02,2.218874999999999927e-04,4.600540000000000185e-01,4.700000000000000000e+01,8.900000000000000000e+01,1.978279408799999999e+02,1.978278167599999904e+02,-1.465996540499999945e+00,-1.466036881199999975e+00,1.978279408999999873e+02,1.978278167999999937e+02,-1.465996499999999925e+00,-1.466036899999999976e+00,2.051000000000000156e+00,2.644000000000000128e+00,1.548999999999999932e+00,2.274000000000000021e+00
2.240235000000000143e-03,8.507115999999999900e+00,1.260735999999999986e-04,3.620233999999999952e-01,2.624275000000000132e-03,1.204318999999999917e+01,2.809678000000000240e-04,7.764535999999999660e-01,7.382149999999999650e-04,3.003843999999999872e-03,3.452665999999999987e-05,6.735520000000000396e-02,1.784284000000000076e-04,3.060164000000000217e-01,2.600000000000000000e+01,5.300000000000000000e+01,1.978285844600000019e+02,1.978284274799999878e+02,-1.466015009499999966e+00,-1.466042913999999975e+00,1.978285845000000052e+02,1.978284275000000036e+02,-1.466015000000000068e+00,-1.466042899999999927e+00,1.514000000000000012e+00,2.392999999999999794e+00,1.241000000000000103e+00,1.850999999999999979e+00
1.612680000000000016e-02,1.283817999999999984e+02,2.781247999999999837e-04,9.180536000000000252e-01,2.417124999999999829e-02,1.403017999999999859e+02,6.274192000000000050e-04,1.329779999999999962e+00,7.381837999999999508e-04,3.102066000000000111e-03,3.452665999999999987e-05,6.735520000000000396e-02,4.166069999999999908e-04,9.861292999999999864e-01,1.280000000000000000e+02,3.780000000000000000e+02,1.978292018399999961e+02,1.978290061700000138e+02,-1.464115587200000013e+00,-1.464053585100000054e+00,1.978292017999999928e+02,1.978290062000000091e+02,-1.464115599999999962e+00,-1.464053599999999955e+00,3.701000000000000068e+00,4.642000000000000348e+00,2.476999999999999869e+00,4.205000000000000071e+00
1.752812999999999941e-02,1.283817999999999984e+02,2.847141999999999989e-04,9.180536000000000252e-01,2.680541999999999994e-02,1.403017999999999859e+02,6.706829000000000089e-04,1.329779999999999962e+00,7.381573999999999471e-04,3.102066000000000111e-03,3.452665999999999987e-05,6.735520000000000396e-02,4.114461000000000247e-04,9.861292999999999864e-01,1.400000000000000000e+02,3.780000000000000000e+02,1.978291247299999895e+02,1.978290061700000138e+02,-1.463874800199999937e+00,-1.464053585100000054e+00,1.978291246999999942e+02,1.978290062000000091e+02,-1.463874799999999921e+00,-1.464053599999999955e+00,4.424000000000000377e+00,4.642000000000000348e+00,2.362999999999999989e+00,4.205000000000000071e+00
2.234262999999999787e-03,9.166536000000000683e+00,1.437459999999999888e-04,3.836553999999999798e-01,3.417508999999999998e-03,1.495327999999999946e+01,3.558462000000000083e-04,9.525464000000000153e-01,7.401747000000000404e-04,2.394182999999999815e-03,3.452665999999999987e-05,6.735520000000000396e-02,1.235169000000000100e-04,2.427817999999999921e-01,3.400000000000000000e+01,6.100000000000000000e+01,1.978321470299999874e+02,1.978320273200000088e+02,-1.469403601400000037e+00,-1.469449936700000015e+00,1.978321469999999920e+02,1.978320272999999929e+02,-1.469403599999999921e+00,-1.469449900000000087e+00,2.095000000000000195e+00,2.435999999999999943e+00,1.401000000000000023e+00,2.048999999999999932e+00
