bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
7.291158999999999965e-04,4.713168000000000291e+01,5.913549000000000258e-05,6.280158000000000129e-01,1.247328999999999929e-03,5.315059000000000111e+01,1.453756999999999912e-04,1.000707999999999931e+00,1.075655999999999921e-03,1.878937000000000012e-03,1.849590000000000023e-05,8.326392000000000515e-02,6.510492000000000210e-05,1.621342000000000061e+00,2.000000000000000000e+01,1.110000000000000000e+02,1.978258640399999990e+02,1.978257120199999974e+02,-1.472836765600000097e+00,-1.472879311600000074e+00,1.978258639999999957e+02,1.978257120000000100e+02,-1.472836800000000057e+00,-1.472879300000000002e+00,1.560999999999999943e+00,2.531000000000000139e+00,1.042999999999999927e+00,2.209000000000000075e+00
1.981225999999999994e-03,9.688685999999999865e+01,7.189913999999999344e-05,6.661114000000000201e-01,2.312944999999999845e-03,9.869472000000000378e+01,1.310760999999999968e-04,7.611048999999999731e-01,1.075854999999999910e-03,1.436547000000000041e-03,1.849590000000000023e-05,8.326392000000000515e-02,1.907446000000000033e-04,4.735623999999999612e+00,3.100000000000000000e+01,1.310000000000000000e+02,1.978285133999999914e+02,1.978283808900000054e+02,-1.471003282899999931e+00,-1.471023721999999978e+00,1.978285133999999914e+02,1.978283809000000133e+02,-1.471003300000000014e+00,-1.471023699999999934e+00,1.504999999999999893e+00,2.262000000000000011e+00,1.310000000000000053e+00,2.160000000000000142e+00
1.443562999999999930e+00,3.293630999999999858e+03,5.607373999999999822e-04,1.623113000000000028e+00,1.379245000000000054e+00,3.499438000000000102e+03,3.703288000000000109e-04,1.937265999999999933e+00,1.077063000000000065e-03,1.544038000000000008e-02,1.849590000000000023e-05,8.326392000000000515e-02,7.757205999999999824e-02,1.976978000000000080e+01,1.912000000000000000e+03,7.990000000000000000e+02,1.978367234199999984e+02,1.978368842799999925e+02,-1.473885142499999912e+00,-1.473919755400000087e+00,1.978367234000000110e+02,1.978368843000000084e+02,-1.473885099999999948e+00,-1.473919800000000002e+00,5.060999999999999943e+00,9.207000000000000739e+00,4.641000000000000014e+00,3.446000000000000174e+00
2.203894000000000079e-03,8.389094000000000051e+02,7.798557000000000557e-05,2.017516000000000087e+00,2.955225000000000126e-03,8.427877999999999474e+02,1.730682000000000043e-04,2.578046000000000060e+00,1.076822000000000066e-03,1.112670999999999973e-02,1.849590000000000023e-05,8.326392000000000515e-02,1.955398000000000010e-04,2.744812999999999903e+01,3.800000000000000000e+01,1.187000000000000000e+03,1.978346344199999862e+02,1.978345208599999978e+02,-1.474607605399999910e+00,-1.474619204699999964e+00,1.978346343999999988e+02,1.978345209000000011e+02,-1.474607599999999907e+00,-1.474619200000000019e+00,1.554999999999999938e+00,9.359999999999999432e+00,1.391999999999999904e+00,5.991999999999999993e+00
1.340765000000000056e-03,3.933335000000000150e+02,7.895437000000000212e-05,1.276712999999999987e+00,3.286756000000000053e-03,4.009655999999999949e+02,2.740613000000000250e-04,1.475961999999999996e+00,1.075795000000000050e-03,1.965235999999999979e-03,1.849590000000000023e-05,8.326392000000000515e-02,5.992281000000000235e-05,5.562364999999999782e+00,3.100000000000000000e+01,4.940000000000000000e+02,1.978291161200000090e+02,1.978290172799999880e+02,-1.463890339600000035e+00,-1.464086114599999933e+00,1.978291160999999931e+02,1.978290173000000038e+02,-1.463890300000000089e+00,-1.464086100000000057e+00,2.486000000000000210e+00,4.519999999999999574e+00,1.127000000000000002e+00,4.059000000000000163e+00
4.479708000000000301e-02,5.918913999999999760e+02,2.022368999999999881e-04,1.022034000000000109e+00,4.440329999999999971e-02,5.829885000000000446e+02,2.007276000000000058e-04,9.019190999999999736e-01,1.076188999999999965e-03,6.262008999999999805e-03,1.849590000000000023e-05,8.326392000000000515e-02,2.883599000000000145e-03,2.634384000000000015e+01,2.360000000000000000e+02,3.130000000000000000e+02,1.978364167500000121e+02,1.978362876099999994e+02,-1.469155054500000057e+00,-1.469201085399999940e+00,1.978364167000000009e+02,1.978362875999999915e+02,-1.469155100000000047e+00,-1.469201100000000038e+00,2.766000000000000014e+00,2.680000000000000160e+00,2.495999999999999996e+00,2.568999999999999950e+00
3.010693999999999957e-03,2.419321999999999946e+02,1.245329999999999950e-04,1.073498000000000063e+00,5.708218999999999620e-03,2.485146000000000015e+02,3.790531999999999777e-04,1.270666000000000073e+00,1.075619000000000098e-03,3.554915000000000071e-03,1.849590000000000023e-05,8.326392000000000515e-02,6.207008999999999986e-05,3.476519999999999833e+00,8.300000000000000000e+01,3.400000000000000000e+02,1.978330766999999923e+02,1.978329138299999954e+02,-1.463484050900000000e+00,-1.463528179399999907e+00,1.978330766999999923e+02,1.978329138000000000e+02,-1.463484100000000065e+00,-1.463528200000000057e+00,3.313000000000000167e+00,3.795999999999999819e+00,2.432999999999999829e+00,3.512999999999999901e+00
8.431998000000000444e-04,2.377502000000000066e+02,6.640232000000000090e-05,1.159067999999999987e+00,2.265899999999999945e-03,2.455276000000000067e+02,2.505874000000000057e-04,1.350599000000000105e+00,1.075800999999999927e-03,4.688712000000000261e-03,1.849590000000000023e-05,8.326392000000000515e-02,6.566115000000000406e-05,4.101386999999999894e+00,2.300000000000000000e+01,3.870000000000000000e+02,1.978296598899999879e+02,1.978295717299999978e+02,-1.459410273400000069e+00,-1.459449355500000101e+00,1.978296598999999958e+02,1.978295717000000025e+02,-1.459410300000000049e+00,-1.459449400000000008e+00,2.305000000000000160e+00,5.168000000000000149e+00,1.348000000000000087e+00,2.934000000000000163e+00
4.310628999999999958e-04,2.209387999999999863e+01,4.775622000000000336e-05,5.295248000000000177e-01,1.031185000000000001e-03,2.835880999999999830e+01,1.607714000000000105e-04,1.126714999999999911e+00,1.075681999999999897e-03,3.763396999999999923e-03,1.849590000000000023e-05,8.326392000000000515e-02,4.927244000000000220e-05,7.025829999999999576e-01,1.300000000000000000e+01,8.600000000000000000e+01,1.978322390200000029e+02,1.978320882900000015e+02,-1.463241531600000034e+00,-1.463332875899999941e+00,1.978322389999999871e+02,1.978320883000000094e+02,-1.463241500000000084e+00,-1.463332899999999936e+00,1.260000000000000009e+00,2.644000000000000128e+00,1.074000000000000066e+00,1.965000000000000080e+00
2.498215999999999935e-04,9.738884000000000540e+00,3.487620999999999723e-05,4.041137000000000201e-01,3.668567999999999872e-04,1.227030000000000065e+01,8.453434999999999812e-05,8.082274000000000402e-01,1.075601999999999938e-03,4.118799000000000245e-03,1.849590000000000023e-05,8.326392000000000515e-02,5.263322999999999819e-05,4.589293999999999873e-01,8.000000000000000000e+00,3.900000000000000000e+01,1.978260570399999949e+02,1.978259377200000131e+02,-1.451169067599999973e+00,-1.451222446000000055e+00,1.978260569999999916e+02,1.978259376999999972e+02,-1.451169099999999990e+00,-1.451222400000000023e+00,9.969999999999999973e-01,1.792999999999999927e+00,6.129999999999999893e-01,1.594000000000000083e+00
